"CO_CUCI_ITEM";"NO_CUCI_ITEM";"NO_CUCI_ITEM_ING";"CO_CUCI_SUB";"NO_CUCI_SUB";"NO_CUCI_SUB_ING";"CO_CUCI_POS";"NO_CUCI_POS";"NO_CUCI_POS_ING";"CO_CUCI_CAP";"NO_CUCI_CAP";"NO_CUCI_CAP_ING";"CO_CUCI_SEC";"NO_CUCI_SEC";"NO_CUCI_SEC_ING"
"I";"Ouro, monetário";"Gold, monetary";"9710";"Ouro, não monetário (excluindo minérios de ouro e seus concentrados)";"Gold, non-monetary (excluding gold ores and concentrates)";"971";"Ouro, não monetário (excluindo minérios de ouro e seus concentrados)";"Gold, non-monetary (excluding gold ores and concentrates)";"97";"Ouro, não monetário (excluindo minérios de ouro e seus concentrados)";"Gold, non-monetary (excluding gold ores and concentrates)";"9";"MERCADORIAS E TRANSACOES NAO ESPECIFICADAS EM OUTRAS PARTES DA CUCI";"COMMODITIES AND TRANSACTIONS NOT CLASSIFIED ELSEWHERE IN THE SITC"
"II";"Moeda de ouro e moeda corrente";"Gold coin and current coin";"9710";"Ouro, não monetário (excluindo minérios de ouro e seus concentrados)";"Gold, non-monetary (excluding gold ores and concentrates)";"971";"Ouro, não monetário (excluindo minérios de ouro e seus concentrados)";"Gold, non-monetary (excluding gold ores and concentrates)";"97";"Ouro, não monetário (excluindo minérios de ouro e seus concentrados)";"Gold, non-monetary (excluding gold ores and concentrates)";"9";"MERCADORIAS E TRANSACOES NAO ESPECIFICADAS EM OUTRAS PARTES DA CUCI";"COMMODITIES AND TRANSACTIONS NOT CLASSIFIED ELSEWHERE IN THE SITC"
"00111";"Animais de raça para reprodução";"Pure-bred bovine breeding animals, live";"0011";"Bovinos vivos";"Bovine animals, live";"001";"Animais vivos não incluídos no capítulo 03";"Live animals other than animals of division 03";"00";"Animais vivos não incluídos no capítulo 03";"Live Animals other than animals of division 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS";"FOOD AND LIVE ANIMALS"
"00119";"Outros, exceto animais de raça para reprodução";"Bovine animals, live, other than pure-bred breeding stock";"0011";"Bovinos vivos";"Bovine animals, live";"001";"Animais vivos não incluídos no capítulo 03";"Live animals other than animals of division 03";"00";"Animais vivos não incluídos no capítulo 03";"Live Animals other than animals of division 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS";"FOOD AND LIVE ANIMALS"
"00121";"Ovinos vivos";"Sheep, live";"0012";"Ovinos e caprinos vivos";"Sheep and goats, live";"001";"Animais vivos não incluídos no capítulo 03";"Live animals other than animals of division 03";"00";"Animais vivos não incluídos no capítulo 03";"Live Animals other than animals of division 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS";"FOOD AND LIVE ANIMALS"
"00122";"Caprinos vivos";"Goats, live";"0012";"Ovinos e caprinos vivos";"Sheep and goats, live";"001";"Animais vivos não incluídos no capítulo 03";"Live animals other than animals of division 03";"00";"Animais vivos não incluídos no capítulo 03";"Live Animals other than animals of division 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS";"FOOD AND LIVE ANIMALS"
"00131";"Animais de raça para reprodução";"Swine, pure-bred breeding animals";"0013";"Suínos vivos";"Swine, live";"001";"Animais vivos não incluídos no capítulo 03";"Live animals other than animals of division 03";"00";"Animais vivos não incluídos no capítulo 03";"Live Animals other than animals of division 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS";"FOOD AND LIVE ANIMALS"
"00139";"Outros, exceto animais de raça para reprodução";"Swine, live, other than pure-bred breeding animals";"0013";"Suínos vivos";"Swine, live";"001";"Animais vivos não incluídos no capítulo 03";"Live animals other than animals of division 03";"00";"Animais vivos não incluídos no capítulo 03";"Live Animals other than animals of division 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS";"FOOD AND LIVE ANIMALS"
"00141";"Aves de granja, vivas (ex. as espécies de Gallus domesticus, patos, gansos, perus e galinhas d´angola, com peso inferior a 185g)";"Poultry, live weight < 185 grams";"0014";"Aves de granja, vivas";"Poultry, live (i.e., fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea-fowls)";"001";"Animais vivos não incluídos no capítulo 03";"Live animals other than animals of division 03";"00";"Animais vivos não incluídos no capítulo 03";"Live Animals other than animals of division 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS";"FOOD AND LIVE ANIMALS"
"00149";"Outros ";"Poultry, live weight > 185 grams";"0014";"Aves de granja, vivas";"Poultry, live (i.e., fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea-fowls)";"001";"Animais vivos não incluídos no capítulo 03";"Live animals other than animals of division 03";"00";"Animais vivos não incluídos no capítulo 03";"Live Animals other than animals of division 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS";"FOOD AND LIVE ANIMALS"
